model;type;kNN;successful_finds;recall;recall_percentage;recall_percentage_rounded
distiluse-base;open;1NN;52961;0.6812930945765154;68.12930945765154;68.13
distiluse-base;open;5NN;65026;0.8364978902953587;83.64978902953587;83.65
distiluse-base;open;10NN;68019;0.875;87.5;87.5
distiluse-base;open;20NN;70401;0.9056421735103427;90.56421735103427;90.56
distiluse-base;source;1NN;51588;0.6636307502315529;66.36307502315529;66.36
distiluse-base;source;5NN;63783;0.820507872800247;82.0507872800247;82.05
distiluse-base;source;10NN;67021;0.8621616754142225;86.21616754142225;86.22
distiluse-base;source;20NN;69591;0.8952222908305032;89.52222908305032;89.52
distiluse-base;title;1NN;30297;0.38974220438406915;38.97422043840692;38.97
distiluse-base;title;5NN;40765;0.5244031079551302;52.44031079551302;52.44
distiluse-base;title;10NN;44564;0.5732736441288464;57.32736441288464;57.33
distiluse-base;title;20NN;47995;0.6174102089122157;61.74102089122157;61.74
distiluse-base-v2;open;1NN;52961;0.6812930945765154;68.12930945765154;68.13
distiluse-base-v2;open;5NN;65026;0.8364978902953587;83.64978902953587;83.65
distiluse-base-v2;open;10NN;68019;0.875;87.5;87.5
distiluse-base-v2;open;20NN;70401;0.9056421735103427;90.56421735103427;90.56
distiluse-base-v2;source;1NN;51588;0.6636307502315529;66.36307502315529;66.36
distiluse-base-v2;source;5NN;63783;0.820507872800247;82.0507872800247;82.05
distiluse-base-v2;source;10NN;67021;0.8621616754142225;86.21616754142225;86.22
distiluse-base-v2;source;20NN;69591;0.8952222908305032;89.52222908305032;89.52
distiluse-base-v2;title;1NN;30297;0.38974220438406915;38.97422043840692;38.97
distiluse-base-v2;title;5NN;40765;0.5244031079551302;52.44031079551302;52.44
distiluse-base-v2;title;10NN;44564;0.5732736441288464;57.32736441288464;57.33
distiluse-base-v2;title;20NN;47995;0.6174102089122157;61.74102089122157;61.74
E5_base;open;1NN;63553;0.8175491406812803;81.75491406812803;81.75
E5_base;open;5NN;71797;0.9236003910672018;92.36003910672018;92.36
E5_base;open;10NN;73442;0.9447617577441597;94.47617577441598;94.48
E5_base;open;20NN;74663;0.9604687660800658;96.04687660800658;96.05
E5_base;source;1NN;49285;0.6340048368838119;63.40048368838119;63.4
E5_base;source;5NN;60491;0.7781594113409489;77.81594113409489;77.82
E5_base;source;10NN;63685;0.8192471956365134;81.92471956365134;81.92
E5_base;source;20NN;66620;0.8570031902850674;85.70031902850674;85.7
E5_base;title;1NN;43002;0.5531799938252547;55.31799938252547;55.32
E5_base;title;5NN;51726;0.665405989502933;66.5405989502933;66.54
E5_base;title;10NN;54403;0.6998430585571679;69.98430585571678;69.98
E5_base;title;20NN;56956;0.7326849850776989;73.26849850776989;73.27
E5_large;open;1NN;68990;0.8874909951631161;88.74909951631162;88.75
E5_large;open;5NN;75104;0.9661418133168673;96.61418133168674;96.61
E5_large;open;10NN;76052;0.9783369352680868;97.83369352680869;97.83
E5_large;open;20NN;76667;0.9862483276731502;98.62483276731501;98.62
E5_large;source;1NN;64756;0.8330245960687455;83.30245960687455;83.3
E5_large;source;5NN;72599;0.933917361325512;93.3917361325512;93.39
E5_large;source;10NN;74095;0.9531619841514871;95.3161984151487;95.32
E5_large;source;20NN;75205;0.9674410826386745;96.74410826386745;96.74
E5_large;title;1NN;45282;0.5825100339610991;58.251003396109915;58.25
E5_large;title;5NN;54020;0.6949161263764536;69.49161263764536;69.49
E5_large;title;10NN;56553;0.7275007718431614;72.75007718431614;72.75
E5_large;title;20NN;59084;0.760059689204487;76.0059689204487;76.01
E5_small;open;1NN;62350;0.802073685293815;80.2073685293815;80.21
E5_small;open;5NN;70517;0.9071344036225172;90.71344036225172;90.71
E5_small;open;10NN;72294;0.9299938252547082;92.99938252547082;93.0
E5_small;open;20NN;73643;0.9473474323350829;94.73474323350828;94.73
E5_small;source;1NN;47801;0.6149145826901307;61.491458269013066;61.49
E5_small;source;5NN;58909;0.7578084799835341;75.78084799835341;75.78
E5_small;source;10NN;62083;0.7986389832252753;79.86389832252753;79.86
E5_small;source;20NN;64986;0.8359833281877123;83.59833281877123;83.6
E5_small;title;1NN;41392;0.5324688689924874;53.246886899248736;53.25
E5_small;title;5NN;50788;0.6533395080786251;65.33395080786251;65.33
E5_small;title;10NN;53694;0.6907224451991355;69.07224451991355;69.07
E5_small;title;20NN;56257;0.7236930122465781;72.36930122465782;72.37
LaBSE;open;1NN;56917;0.7321832870227436;73.21832870227436;73.22
LaBSE;open;5NN;67046;0.8624832767315015;86.24832767315014;86.25
LaBSE;open;10NN;69660;0.8961099104661933;89.61099104661933;89.61
LaBSE;open;20NN;71676;0.9220438406915715;92.20438406915716;92.2
LaBSE;source;1NN;56978;0.7329679942369044;73.29679942369044;73.3
LaBSE;source;5NN;67200;0.8644643408459401;86.44643408459402;86.45
LaBSE;source;10NN;69724;0.8969332098384275;89.69332098384275;89.69
LaBSE;source;20NN;71744;0.9229185962745703;92.29185962745703;92.29
LaBSE;title;1NN;54052;0.6953277760625708;69.53277760625708;69.53
LaBSE;title;5NN;61662;0.793223217042297;79.32232170422971;79.32
LaBSE;title;10NN;63928;0.8223731604404652;82.23731604404651;82.24
LaBSE;title;20NN;65857;0.8471879180817125;84.71879180817125;84.72
paraphrase-MiniLM-L12;open;1NN;46414;0.597072141607492;59.7072141607492;59.71
paraphrase-MiniLM-L12;open;5NN;61078;0.7857106102706597;78.57106102706597;78.57
paraphrase-MiniLM-L12;open;10NN;65251;0.8393923021508696;83.93923021508695;83.94
paraphrase-MiniLM-L12;open;20NN;68502;0.8812133374498302;88.12133374498302;88.12
paraphrase-MiniLM-L12;source;1NN;46306;0.5956828239168468;59.568282391684676;59.57
paraphrase-MiniLM-L12;source;5NN;60188;0.7742616033755274;77.42616033755274;77.43
paraphrase-MiniLM-L12;source;10NN;64137;0.8250617474529176;82.50617474529176;82.51
paraphrase-MiniLM-L12;source;20NN;67449;0.8676674899660389;86.7667489966039;86.77
paraphrase-MiniLM-L12;title;1NN;17051;0.21934496243696613;21.934496243696614;21.93
paraphrase-MiniLM-L12;title;5NN;27362;0.3519862097355151;35.198620973551506;35.2
paraphrase-MiniLM-L12;title;10NN;31166;0.400921066172687;40.092106617268705;40.09
paraphrase-MiniLM-L12;title;20NN;35022;0.4505248533497993;45.05248533497993;45.05
paraphrase-mpnet;open;1NN;61703;0.7937506432026346;79.37506432026346;79.38
paraphrase-mpnet;open;5NN;71249;0.9165508901924462;91.65508901924461;91.66
paraphrase-mpnet;open;10NN;73142;0.9409025419368118;94.09025419368118;94.09
paraphrase-mpnet;open;20NN;74547;0.9589765359678913;95.89765359678914;95.9
paraphrase-mpnet;source;1NN;60860;0.7829062467839868;78.29062467839869;78.29
paraphrase-mpnet;source;5NN;70635;0.9086523618400741;90.86523618400741;90.87
paraphrase-mpnet;source;10NN;72652;0.9345991561181435;93.45991561181435;93.46
paraphrase-mpnet;source;20NN;74161;0.9540110116291036;95.40110116291036;95.4
paraphrase-mpnet;title;1NN;32949;0.423857672121025;42.3857672121025;42.39
paraphrase-mpnet;title;5NN;43264;0.5565503756303386;55.65503756303386;55.66
paraphrase-mpnet;title;10NN;47068;0.6054852320675106;60.54852320675106;60.55
paraphrase-mpnet;title;20NN;50408;0.6484511680559844;64.84511680559844;64.85
SONAR;open;1NN;37088;0.47710198620973554;47.71019862097356;47.71
SONAR;open;5NN;48835;0.62821601317279;62.821601317279;62.82
SONAR;open;10NN;52924;0.6808171246269424;68.08171246269424;68.08
SONAR;open;20NN;56453;0.7262143665740455;72.62143665740454;72.62
SONAR;source;1NN;17259;0.2220206853967274;22.20206853967274;22.2
SONAR;source;5NN;27519;0.3540058660080272;35.40058660080272;35.4
SONAR;source;10NN;32376;0.4164865699289904;41.64865699289904;41.65
SONAR;source;20NN;37452;0.48178450138931767;48.178450138931765;48.18
SONAR;title;1NN;46740;0.6012658227848101;60.12658227848101;60.13
SONAR;title;5NN;55195;0.7100313882885664;71.00313882885663;71.0
SONAR;title;10NN;57289;0.736968714623855;73.6968714623855;73.7
SONAR;title;20NN;59083;0.7600468251517958;76.00468251517958;76.0
