model;type;kNN;successful_finds;recall;recall_percentage;recall_percentage_rounded
distiluse-base;open;1NN;52774;0.6788875167232685;67.88875167232685;67.89
distiluse-base;open;5NN;62928;0.8095091077493053;80.95091077493053;80.95
distiluse-base;open;10NN;65483;0.8423767623752186;84.23767623752187;84.24
distiluse-base;open;20NN;67470;0.8679376350725533;86.79376350725533;86.79
distiluse-base;source;1NN;51818;0.6665894823505197;66.65894823505198;66.66
distiluse-base;source;5NN;62064;0.7983945662241433;79.83945662241433;79.84
distiluse-base;source;10NN;64763;0.8331146444375837;83.31146444375837;83.31
distiluse-base;source;20NN;66851;0.8599747864567253;85.99747864567253;86.0
distiluse-base;title;1NN;28545;0.3672043840691572;36.72043840691572;36.72
distiluse-base;title;5NN;34324;0.44154574457136975;44.154574457136974;44.15
distiluse-base;title;10NN;36320;0.4672223937429248;46.72223937429248;46.72
distiluse-base;title;20NN;38059;0.4895929813728517;48.95929813728517;48.96
distiluse-base-v2;open;1NN;52854;0.6799166409385613;67.99166409385613;67.99
distiluse-base-v2;open;5NN;63013;0.8106025522280539;81.0602552228054;81.06
distiluse-base-v2;open;10NN;65566;0.843444478748585;84.3444478748585;84.34
distiluse-base-v2;open;20NN;67533;0.8687480703920963;86.87480703920963;86.87
distiluse-base-v2;source;1NN;51780;0.6661006483482557;66.61006483482556;66.61
distiluse-base-v2;source;5NN;62027;0.7979185962745703;79.79185962745703;79.79
distiluse-base-v2;source;10NN;64701;0.8323170731707317;83.23170731707317;83.23
distiluse-base-v2;source;20NN;66797;0.8592801276114027;85.92801276114027;85.93
distiluse-base-v2;title;1NN;28468;0.36621385201193785;36.62138520119378;36.62
distiluse-base-v2;title;5NN;34216;0.4401564268807245;44.01564268807245;44.02
distiluse-base-v2;title;10NN;36200;0.46567870741998557;46.567870741998554;46.57
distiluse-base-v2;title;20NN;37939;0.4880492950499125;48.80492950499125;48.8
E5_base;open;1NN;52241;0.6720309766388803;67.20309766388803;67.2
E5_base;open;5NN;58474;0.7522126170628795;75.22126170628795;75.22
E5_base;open;10NN;59625;0.7670191417104044;76.70191417104044;76.7
E5_base;open;20NN;60458;0.7777348976021405;77.77348976021405;77.77
E5_base;source;1NN;29558;0.38023566944530207;38.02356694453021;38.02
E5_base;source;5NN;35034;0.45067922198209326;45.067922198209324;45.07
E5_base;source;10NN;36305;0.4670294329525574;46.702943295255736;46.7
E5_base;source;20NN;37321;0.48009931048677573;48.00993104867757;48.01
E5_base;title;1NN;37782;0.4860296387774004;48.60296387774004;48.6
E5_base;title;5NN;43885;0.5645389523515488;56.45389523515488;56.45
E5_base;title;10NN;45468;0.5849027477616549;58.490274776165485;58.49
E5_base;title;20NN;46786;0.6018575692086034;60.18575692086034;60.19
E5_large;open;1NN;62788;0.807708140372543;80.7708140372543;80.77
E5_large;open;5NN;68149;0.8766723268498507;87.66723268498508;87.67
E5_large;open;10NN;68919;0.8865776474220438;88.65776474220438;88.66
E5_large;open;20NN;69414;0.8929453535041679;89.2945353504168;89.29
E5_large;source;1NN;51678;0.6647885149737573;66.47885149737573;66.48
E5_large;source;5NN;57476;0.739374292477102;73.9374292477102;73.94
E5_large;source;10NN;58526;0.7528815478028198;75.28815478028199;75.29
E5_large;source;20NN;59236;0.7620150252135433;76.20150252135433;76.2
E5_large;title;1NN;37115;0.47744931563239684;47.74493156323968;47.74
E5_large;title;5NN;42270;0.5437635072553257;54.376350725532575;54.38
E5_large;title;10NN;43526;0.5599207574354225;55.992075743542244;55.99
E5_large;title;20NN;44546;0.5730420911804055;57.304209118040546;57.3
E5_small;open;1NN;50681;0.651963054440671;65.19630544406711;65.2
E5_small;open;5NN;56899;0.7319517340743028;73.19517340743027;73.2
E5_small;open;10NN;58134;0.7478388391478852;74.78388391478852;74.78
E5_small;open;20NN;59048;0.7595965833076053;75.95965833076053;75.96
E5_small;source;1NN;28473;0.36627817227539367;36.62781722753937;36.63
E5_small;source;5NN;33500;0.4309457651538541;43.094576515385405;43.09
E5_small;source;10NN;34718;0.44661418133168673;44.661418133168674;44.66
E5_small;source;20NN;35651;0.45861634249253885;45.86163424925388;45.86
E5_small;title;1NN;36034;0.46354327467325307;46.354327467325305;46.35
E5_small;title;5NN;42617;0.5482273335391582;54.82273335391582;54.82
E5_small;title;10NN;44321;0.5701476793248945;57.01476793248945;57.01
E5_small;title;20NN;45655;0.5873083256149018;58.730832561490175;58.73
LaBSE;open;1NN;53938;0.6938612740557786;69.38612740557785;69.39
LaBSE;open;5NN;62899;0.8091360502212617;80.91360502212616;80.91
LaBSE;open;10NN;64997;0.836124832767315;83.6124832767315;83.61
LaBSE;open;20NN;66498;0.855433775856746;85.54337758567459;85.54
LaBSE;source;1NN;55497;0.7139163322012967;71.39163322012966;71.39
LaBSE;source;5NN;65134;0.8378872079860039;83.7887207986004;83.79
