model;type;kNN;successful_finds;recall;recall_percentage;recall_percentage_rounded
distiluse-base;open;1NN;54109;0.6960610270659668;69.60610270659669;69.61
distiluse-base;open;5NN;64395;0.8283806730472368;82.83806730472368;82.84
distiluse-base;open;10NN;66850;0.8599619224040341;85.99619224040342;86.0
distiluse-base;open;20NN;68738;0.8842492538849439;88.42492538849439;88.42
distiluse-base;source;1NN;53622;0.689796233405372;68.9796233405372;68.98
distiluse-base;source;5NN;63946;0.8226047133889061;82.26047133889061;82.26
distiluse-base;source;10NN;66530;0.855845425542863;85.5845425542863;85.58
distiluse-base;source;20NN;68514;0.8813677060821241;88.13677060821242;88.14
distiluse-base;title;1NN;34381;0.44227899557476585;44.22789955747658;44.23
distiluse-base;title;5NN;41874;0.5386693423896264;53.866934238962635;53.87
distiluse-base;title;10NN;44427;0.5715112689101575;57.15112689101575;57.15
distiluse-base;title;20NN;46877;0.603028198003499;60.30281980034991;60.3
distiluse-base-v2;open;1NN;54091;0.6958294741175259;69.5829474117526;69.58
distiluse-base-v2;open;5NN;64393;0.8283549449418545;82.83549449418544;82.84
distiluse-base-v2;open;10NN;66838;0.8598075537717402;85.98075537717402;85.98
distiluse-base-v2;open;20NN;68708;0.8838633323042091;88.38633323042092;88.39
distiluse-base-v2;source;1NN;53547;0.688831429453535;68.8831429453535;68.88
distiluse-base-v2;source;5NN;63896;0.8219615107543481;82.19615107543481;82.2
distiluse-base-v2;source;10NN;66474;0.855125038592158;85.5125038592158;85.51
distiluse-base-v2;source;20NN;68449;0.8805315426571987;88.05315426571987;88.05
distiluse-base-v2;title;1NN;34385;0.4423304517855305;44.23304517855305;44.23
distiluse-base-v2;title;5NN;41872;0.5386436142842441;53.86436142842441;53.86
distiluse-base-v2;title;10NN;44424;0.571472676752084;57.147267675208404;57.15
distiluse-base-v2;title;20NN;46875;0.6030024698981167;60.30024698981167;60.3
E5_base;open;1NN;52253;0.6721853452711742;67.21853452711743;67.22
E5_base;open;5NN;58498;0.7525213543274674;75.25213543274674;75.25
E5_base;open;10NN;59652;0.7673664711330658;76.73664711330657;76.74
E5_base;open;20NN;60455;0.7776963054440671;77.76963054440671;77.77
E5_base;source;1NN;29439;0.37870484717505404;37.870484717505406;37.87
E5_base;source;5NN;34888;0.4488010702891839;44.880107028918395;44.88
E5_base;source;10NN;36155;0.4650998250488834;46.50998250488834;46.51
E5_base;source;20NN;37178;0.4782597509519399;47.82597509519399;47.83
E5_base;title;1NN;37720;0.48523206751054854;48.52320675105485;48.52
E5_base;title;5NN;43821;0.5637156529793146;56.37156529793146;56.37
E5_base;title;10NN;45414;0.5842080889163322;58.42080889163322;58.42
E5_base;title;20NN;46747;0.6013558711536482;60.13558711536482;60.14
E5_large;open;1NN;63009;0.8105510960172893;81.05510960172893;81.06
E5_large;open;5NN;68353;0.8792965935988474;87.92965935988474;87.93
E5_large;open;10NN;69136;0.8893691468560255;88.93691468560256;88.94
E5_large;open;20NN;69621;0.895608212411238;89.5608212411238;89.56
