model;type;kNN;successful_finds;recall;recall_percentage;recall_percentage_rounded
distiluse-base;open;1NN;53332;0.6860656581249357;68.60656581249357;68.61
distiluse-base;open;5NN;63573;0.8178064217351034;81.78064217351034;81.78
distiluse-base;open;10NN;66210;0.8517289286816919;85.17289286816919;85.17
distiluse-base;open;20NN;68277;0.8783189255943192;87.83189255943192;87.83
distiluse-base;source;1NN;52421;0.6743465061232891;67.43465061232891;67.43
distiluse-base;source;5NN;62818;0.8080940619532777;80.80940619532777;80.81
distiluse-base;source;10NN;65563;0.8434058865905115;84.34058865905115;84.34
distiluse-base;source;20NN;67761;0.8716810744056808;87.16810744056808;87.17
distiluse-base;title;1NN;30202;0.38852011937840897;38.8520119378409;38.85
distiluse-base;title;5NN;36435;0.46870175980240814;46.870175980240816;46.87
distiluse-base;title;10NN;38591;0.49643665740454873;49.64366574045487;49.64
distiluse-base;title;20NN;40573;0.5219332098384275;52.19332098384275;52.19
distiluse-base-v2;open;1NN;53332;0.6860656581249357;68.60656581249357;68.61
distiluse-base-v2;open;5NN;63573;0.8178064217351034;81.78064217351034;81.78
distiluse-base-v2;open;10NN;66210;0.8517289286816919;85.17289286816919;85.17
distiluse-base-v2;open;20NN;68277;0.8783189255943192;87.83189255943192;87.83
distiluse-base-v2;source;1NN;52421;0.6743465061232891;67.43465061232891;67.43
distiluse-base-v2;source;5NN;62818;0.8080940619532777;80.80940619532777;80.81
distiluse-base-v2;source;10NN;65563;0.8434058865905115;84.34058865905115;84.34
distiluse-base-v2;source;20NN;67761;0.8716810744056808;87.16810744056808;87.17
distiluse-base-v2;title;1NN;30202;0.38852011937840897;38.8520119378409;38.85
distiluse-base-v2;title;5NN;36435;0.46870175980240814;46.870175980240816;46.87
distiluse-base-v2;title;10NN;38591;0.49643665740454873;49.64366574045487;49.64
distiluse-base-v2;title;20NN;40573;0.5219332098384275;52.19332098384275;52.19
E5_base;open;1NN;60083;0.7729108778429556;77.29108778429557;77.29
E5_base;open;5NN;67242;0.8650046310589689;86.50046310589688;86.5
E5_base;open;10NN;68606;0.8825511989297108;88.25511989297108;88.26
E5_base;open;20NN;69625;0.8956596686220026;89.56596686220027;89.57
E5_base;source;1NN;45221;0.5817253267469383;58.172532674693834;58.17
E5_base;source;5NN;54936;0.7066995986415561;70.6699598641556;70.67
E5_base;source;10NN;57614;0.7411495317484821;74.11495317484821;74.11
E5_base;source;20NN;59992;0.7717402490480602;77.17402490480602;77.17
E5_base;title;1NN;38512;0.4954203972419471;49.54203972419471;49.54
E5_base;title;5NN;44248;0.5692086034784398;56.920860347843984;56.92
E5_base;title;10NN;45877;0.5901641453123392;59.01641453123392;59.02
E5_base;title;20NN;47342;0.6090099825048884;60.90099825048883;60.9
E5_large;open;1NN;66948;0.8612225995677678;86.12225995677679;86.12
E5_large;open;5NN;72435;0.9318076566841618;93.18076566841617;93.18
E5_large;open;10NN;73247;0.9422532674693835;94.22532674693835;94.23
E5_large;open;20NN;73777;0.9490712153956983;94.90712153956983;94.91
E5_large;source;1NN;62217;0.8003627662858908;80.03627662858908;80.04
E5_large;source;5NN;69308;0.891581763918905;89.15817639189049;89.16
E5_large;source;10NN;70641;0.908729546156221;90.8729546156221;90.87
E5_large;source;20NN;71615;0.9212591334774107;92.12591334774108;92.13
E5_large;title;1NN;39564;0.5089533806730472;50.89533806730472;50.9
E5_large;title;5NN;44958;0.5783420808891633;57.83420808891633;57.83
E5_large;title;10NN;46279;0.5953354944941854;59.533549449418544;59.53
E5_large;title;20NN;47579;0.6120587629926932;61.20587629926932;61.21
E5_small;open;1NN;58567;0.7534089739631573;75.34089739631573;75.34
E5_small;open;5NN;65629;0.844254914068128;84.4254914068128;84.43
E5_small;open;10NN;67059;0.8626505094164866;86.26505094164865;86.27
E5_small;open;20NN;68168;0.8769167438509828;87.69167438509828;87.69
E5_small;source;1NN;41466;0.5334208088916332;53.34208088916333;53.34
E5_small;source;5NN;50196;0.6457239888854585;64.57239888854585;64.57
E5_small;source;10NN;52562;0.6761603375527426;67.61603375527426;67.62
E5_small;source;20NN;54650;0.7030204795718843;70.30204795718844;70.3
E5_small;title;1NN;35754;0.4599413399197283;45.99413399197283;45.99
E5_small;title;5NN;41611;0.5352860965318514;53.52860965318514;53.53
E5_small;title;10NN;43153;0.5551224657816198;55.512246578161985;55.51
E5_small;title;20NN;44463;0.5719743748070392;57.19743748070392;57.2
LaBSE;open;1NN;53348;0.6862714829679942;68.62714829679942;68.63
LaBSE;open;5NN;61801;0.7950113203663682;79.50113203663682;79.5
LaBSE;open;10NN;63771;0.820353504167953;82.03535041679531;82.04
LaBSE;open;20NN;65238;0.8392250694658845;83.92250694658844;83.92
LaBSE;source;1NN;56031;0.7207857363383761;72.0785736338376;72.08
LaBSE;source;5NN;65820;0.8467119481321396;84.67119481321396;84.67
LaBSE;source;10NN;68190;0.8771997530101884;87.71997530101883;87.72
LaBSE;source;20NN;70108;0.9018730060718329;90.18730060718329;90.19
LaBSE;title;1NN;52302;0.672815683853041;67.2815683853041;67.28
LaBSE;title;5NN;58228;0.7490480601008541;74.90480601008541;74.9
LaBSE;title;10NN;59738;0.7684727796645056;76.84727796645056;76.85
LaBSE;title;20NN;60862;0.7829319748893692;78.29319748893691;78.29
LASER;open;1NN;22598;0.2907018627148297;29.070186271482967;29.07
LASER;open;5NN;29138;0.3748327673150149;37.48327673150149;37.48
LASER;open;10NN;31979;0.4113795410106;41.13795410106;41.14
LASER;open;20NN;35115;0.45172121025007717;45.17212102500772;45.17
LASER;source;1NN;7956;0.10234640321086755;10.234640321086754;10.23
LASER;source;5NN;10619;0.13660337552742616;13.660337552742616;13.66
LASER;source;10NN;11800;0.1517958217556859;15.17958217556859;15.18
LASER;source;20NN;13051;0.16788875167232686;16.788875167232685;16.79
LASER;title;1NN;35327;0.45444838942060306;45.44483894206031;45.44
LASER;title;5NN;40958;0.526885870124524;52.6885870124524;52.69
LASER;title;10NN;42658;0.5487547596994957;54.87547596994957;54.88
LASER;title;20NN;44132;0.5677163733662653;56.77163733662653;56.77
paraphrase-MiniLM-L12;open;1NN;54289;0.6983765565503757;69.83765565503757;69.84
paraphrase-MiniLM-L12;open;5NN;63438;0.8160697746217969;81.60697746217969;81.61
paraphrase-MiniLM-L12;open;10NN;65775;0.8461330657610373;84.61330657610372;84.61
paraphrase-MiniLM-L12;open;20NN;67810;0.8723114129875476;87.23114129875475;87.23
paraphrase-MiniLM-L12;source;1NN;53455;0.6876479366059484;68.76479366059483;68.76
paraphrase-MiniLM-L12;source;5NN;62706;0.8066532880518679;80.66532880518679;80.67
paraphrase-MiniLM-L12;source;10NN;65201;0.8387490995163116;83.87490995163117;83.87
paraphrase-MiniLM-L12;source;20NN;67321;0.8660208912215704;86.60208912215704;86.6
paraphrase-MiniLM-L12;title;1NN;25439;0.32724863641041474;32.72486364104147;32.72
paraphrase-MiniLM-L12;title;5NN;30159;0.3879669651126891;38.796696511268905;38.8
paraphrase-MiniLM-L12;title;10NN;31683;0.4075717814140167;40.75717814140167;40.76
paraphrase-MiniLM-L12;title;20NN;33129;0.42617320160543376;42.61732016054338;42.62
paraphrase-mpnet;open;1NN;64306;0.8272357723577236;82.72357723577237;82.72
paraphrase-mpnet;open;5NN;71239;0.9164222496655346;91.64222496655347;91.64
paraphrase-mpnet;open;10NN;72632;0.9343418750643203;93.43418750643202;93.43
paraphrase-mpnet;open;20NN;73678;0.9477976741792734;94.77976741792735;94.78
paraphrase-mpnet;source;1NN;63616;0.8183595760008233;81.83595760008234;81.84
paraphrase-mpnet;source;5NN;70698;0.9094627971596172;90.94627971596172;90.95
paraphrase-mpnet;source;10NN;72220;0.9290418853555624;92.90418853555624;92.9
paraphrase-mpnet;source;20NN;73399;0.9442086034784398;94.42086034784398;94.42
paraphrase-mpnet;title;1NN;32712;0.4208088916332201;42.08088916332201;42.08
paraphrase-mpnet;title;5NN;38116;0.49032623237624784;49.03262323762478;49.03
paraphrase-mpnet;title;10NN;39795;0.5119249768447052;51.19249768447052;51.19
paraphrase-mpnet;title;20NN;41254;0.5306936297211073;53.06936297211073;53.07
SONAR;open;1NN;34857;0.44840228465575793;44.84022846557579;44.84
SONAR;open;5NN;42601;0.5480215086960997;54.80215086960997;54.8
SONAR;open;10NN;45652;0.5872697334568282;58.72697334568282;58.73
SONAR;open;20NN;48483;0.6236878666255017;62.36878666255017;62.37
SONAR;source;1NN;35048;0.4508593187197695;45.085931871976946;45.09
SONAR;source;5NN;45116;0.5803746012143666;58.03746012143666;58.04
SONAR;source;10NN;48576;0.6248842235257795;62.488422352577956;62.49
SONAR;source;20NN;51938;0.6681331686734588;66.81331686734589;66.81
SONAR;title;1NN;46764;0.6015745600493979;60.15745600493979;60.16
SONAR;title;5NN;51851;0.667013996089328;66.7013996089328;66.7
SONAR;title;10NN;53241;0.6848950293300401;68.489502933004;68.49
SONAR;title;20NN;54408;0.6999073788206237;69.99073788206238;69.99
